[Дисц_1, Дисц_2, Дисц_3]
[Дисц_2, Дисц_4, Дисц_5]
[Дисц_2, Дисц_4, Дисц_6]
[Дисц_2, Дисц_4, Дисц_7]
[Дисц_2, Дисц_4, Дисц_8]
[Дисц_2, Дисц_4, Дисц_9]
[Дисц_2, Дисц_5, Дисц_1]
[Дисц_2, Дисц_5, Дисц_3]
[Дисц_2, Дисц_5, Дисц_4]
[Дисц_2, Дисц_5, Дисц_6]
[Дисц_2, Дисц_5, Дисц_7]
[Дисц_2, Дисц_5, Дисц_8]
[Дисц_2, Дисц_5, Дисц_9]
[Дисц_2, Дисц_6, Дисц_1]
[Дисц_2, Дисц_6, Дисц_3]
[Дисц_2, Дисц_6, Дисц_4]
[Дисц_2, Дисц_6, Дисц_5]
[Дисц_2, Дисц_6, Дисц_7]
[Дисц_2, Дисц_6, Дисц_8]
[Дисц_2, Дисц_6, Дисц_9]
[Дисц_2, Дисц_7, Дисц_1]
[Дисц_2, Дисц_7, Дисц_3]
[Дисц_2, Дисц_7, Дисц_4]
[Дисц_2, Дисц_7, Дисц_5]
[Дисц_2, Дисц_7, Дисц_6]
[Дисц_2, Дисц_7, Дисц_8]
[Дисц_2, Дисц_7, Дисц_9]
[Дисц_2, Дисц_8, Дисц_1]
[Дисц_2, Дисц_8, Дисц_3]
[Дисц_2, Дисц_8, Дисц_4]
[Дисц_2, Дисц_8, Дисц_5]
[Дисц_2, Дисц_8, Дисц_6]
[Дисц_2, Дисц_8, Дисц_7]
[Дисц_2, Дисц_8, Дисц_9]
[Дисц_2, Дисц_9, Дисц_1]
[Дисц_2, Дисц_9, Дисц_3]
[Дисц_2, Дисц_9, Дисц_4]
[Дисц_2, Дисц_9, Дисц_5]
[Дисц_2, Дисц_9, Дисц_6]
[Дисц_2, Дисц_9, Дисц_7]
[Дисц_2, Дисц_9, Дисц_8]
[Дисц_3, Дисц_1, Дисц_2]
[Дисц_3, Дисц_1, Дисц_4]
[Дисц_3, Дисц_1, Дисц_5]
[Дисц_3, Дисц_1, Дисц_6]
[Дисц_3, Дисц_1, Дисц_7]
[Дисц_3, Дисц_1, Дисц_8]
[Дисц_3, Дисц_1, Дисц_9]
[Дисц_3, Дисц_2, Дисц_1]
[Дисц_3, Дисц_2, Дисц_4]
[Дисц_3, Дисц_2, Дисц_5]
[Дисц_3, Дисц_2, Дисц_6]
[Дисц_3, Дисц_2, Дисц_7]
[Дисц_3, Дисц_2, Дисц_8]
[Дисц_3, Дисц_2, Дисц_9]
[Дисц_3, Дисц_4, Дисц_1]
[Дисц_3, Дисц_4, Дисц_2]
[Дисц_3, Дисц_4, Дисц_5]
[Дисц_3, Дисц_4, Дисц_6]
[Дисц_3, Дисц_4, Дисц_7]
[Дисц_3, Дисц_4, Дисц_8]
[Дисц_3, Дисц_4, Дисц_9]
[Дисц_3, Дисц_5, Дисц_1]
[Дисц_3, Дисц_5, Дисц_2]
[Дисц_3, Дисц_5, Дисц_4]
[Дисц_3, Дисц_5, Дисц_6]
[Дисц_3, Дисц_5, Дисц_7]
[Дисц_3, Дисц_5, Дисц_8]
[Дисц_3, Дисц_5, Дисц_9]
[Дисц_3, Дисц_6, Дисц_1]
[Дисц_3, Дисц_6, Дисц_2]
[Дисц_3, Дисц_6, Дисц_4]
[Дисц_3, Дисц_6, Дисц_5]
[Дисц_3, Дисц_6, Дисц_7]
[Дисц_3, Дисц_6, Дисц_8]
[Дисц_3, Дисц_6, Дисц_9]
[Дисц_3, Дисц_7, Дисц_1]
[Дисц_3, Дисц_7, Дисц_2]
[Дисц_3, Дисц_7, Дисц_4]
[Дисц_3, Дисц_7, Дисц_5]
[Дисц_3, Дисц_7, Дисц_6]
[Дисц_3, Дисц_7, Дисц_8]
[Дисц_3, Дисц_7, Дисц_9]
[Дисц_3, Дисц_8, Дисц_1]
[Дисц_3, Дисц_8, Дисц_2]
[Дисц_3, Дисц_8, Дисц_4]
[Дисц_3, Дисц_8, Дисц_5]
[Дисц_3, Дисц_8, Дисц_6]
[Дисц_3, Дисц_8, Дисц_7]
[Дисц_3, Дисц_8, Дисц_9]
[Дисц_3, Дисц_9, Дисц_1]
[Дисц_3, Дисц_9, Дисц_2]
[Дисц_3, Дисц_9, Дисц_4]
[Дисц_3, Дисц_9, Дисц_5]
[Дисц_3, Дисц_9, Дисц_6]
[Дисц_3, Дисц_9, Дисц_7]
[Дисц_3, Дисц_9, Дисц_8]
[Дисц_4, Дисц_1, Дисц_2]
[Дисц_4, Дисц_1, Дисц_3]
[Дисц_4, Дисц_1, Дисц_5]
[Дисц_4, Дисц_1, Дисц_6]
[Дисц_4, Дисц_1, Дисц_7]
[Дисц_4, Дисц_1, Дисц_8]
[Дисц_4, Дисц_1, Дисц_9]
[Дисц_4, Дисц_2, Дисц_1]
[Дисц_4, Дисц_2, Дисц_3]
[Дисц_4, Дисц_2, Дисц_5]
[Дисц_4, Дисц_2, Дисц_6]
[Дисц_4, Дисц_2, Дисц_7]
[Дисц_4, Дисц_2, Дисц_8]
[Дисц_4, Дисц_2, Дисц_9]
[Дисц_4, Дисц_3, Дисц_1]
[Дисц_4, Дисц_3, Дисц_2]
[Дисц_4, Дисц_3, Дисц_5]
[Дисц_4, Дисц_3, Дисц_6]
[Дисц_4, Дисц_3, Дисц_7]
[Дисц_4, Дисц_3, Дисц_8]
[Дисц_4, Дисц_3, Дисц_9]
[Дисц_4, Дисц_5, Дисц_1]
[Дисц_4, Дисц_5, Дисц_2]
[Дисц_4, Дисц_5, Дисц_3]
[Дисц_4, Дисц_5, Дисц_6]
[Дисц_4, Дисц_5, Дисц_7]
[Дисц_4, Дисц_5, Дисц_8]
[Дисц_4, Дисц_5, Дисц_9]
[Дисц_4, Дисц_6, Дисц_1]
[Дисц_4, Дисц_6, Дисц_2]
[Дисц_4, Дисц_6, Дисц_3]
[Дисц_4, Дисц_6, Дисц_5]
[Дисц_4, Дисц_6, Дисц_7]
[Дисц_4, Дисц_6, Дисц_8]
[Дисц_4, Дисц_6, Дисц_9]
[Дисц_4, Дисц_7, Дисц_1]
[Дисц_4, Дисц_7, Дисц_2]
[Дисц_4, Дисц_7, Дисц_3]
[Дисц_4, Дисц_7, Дисц_5]
[Дисц_4, Дисц_7, Дисц_6]
[Дисц_4, Дисц_7, Дисц_8]
[Дисц_4, Дисц_7, Дисц_9]
[Дисц_4, Дисц_8, Дисц_1]
[Дисц_4, Дисц_8, Дисц_2]
[Дисц_4, Дисц_8, Дисц_3]
[Дисц_4, Дисц_8, Дисц_5]
[Дисц_4, Дисц_8, Дисц_6]
[Дисц_4, Дисц_8, Дисц_7]
[Дисц_4, Дисц_8, Дисц_9]
[Дисц_4, Дисц_9, Дисц_1]
[Дисц_4, Дисц_9, Дисц_2]
[Дисц_4, Дисц_9, Дисц_3]
[Дисц_4, Дисц_9, Дисц_5]
[Дисц_4, Дисц_9, Дисц_6]
[Дисц_4, Дисц_9, Дисц_7]
[Дисц_4, Дисц_9, Дисц_8]
[Дисц_5, Дисц_1, Дисц_2]
[Дисц_5, Дисц_1, Дисц_3]
[Дисц_5, Дисц_1, Дисц_4]
[Дисц_5, Дисц_1, Дисц_6]
[Дисц_5, Дисц_1, Дисц_7]
[Дисц_5, Дисц_1, Дисц_8]
[Дисц_5, Дисц_1, Дисц_9]
[Дисц_5, Дисц_2, Дисц_1]
[Дисц_5, Дисц_2, Дисц_3]
[Дисц_5, Дисц_2, Дисц_4]
[Дисц_5, Дисц_2, Дисц_6]
[Дисц_5, Дисц_2, Дисц_7]
[Дисц_5, Дисц_2, Дисц_8]
[Дисц_5, Дисц_2, Дисц_9]
[Дисц_5, Дисц_3, Дисц_1]
[Дисц_5, Дисц_3, Дисц_2]
[Дисц_5, Дисц_3, Дисц_4]
[Дисц_5, Дисц_3, Дисц_6]
[Дисц_5, Дисц_3, Дисц_7]
[Дисц_5, Дисц_3, Дисц_8]
[Дисц_5, Дисц_3, Дисц_9]
[Дисц_5, Дисц_4, Дисц_1]
[Дисц_5, Дисц_4, Дисц_2]
[Дисц_5, Дисц_4, Дисц_3]
[Дисц_5, Дисц_4, Дисц_6]
[Дисц_5, Дисц_4, Дисц_7]
[Дисц_5, Дисц_4, Дисц_8]
[Дисц_5, Дисц_4, Дисц_9]
[Дисц_5, Дисц_6, Дисц_1]
[Дисц_5, Дисц_6, Дисц_2]
[Дисц_5, Дисц_6, Дисц_3]
[Дисц_5, Дисц_6, Дисц_4]
[Дисц_5, Дисц_6, Дисц_7]
[Дисц_5, Дисц_6, Дисц_8]
[Дисц_5, Дисц_6, Дисц_9]
[Дисц_5, Дисц_7, Дисц_1]
[Дисц_5, Дисц_7, Дисц_2]
[Дисц_5, Дисц_7, Дисц_3]
[Дисц_5, Дисц_7, Дисц_4]
[Дисц_5, Дисц_7, Дисц_6]
[Дисц_5, Дисц_7, Дисц_8]
[Дисц_5, Дисц_7, Дисц_9]
[Дисц_5, Дисц_8, Дисц_1]
[Дисц_5, Дисц_8, Дисц_2]
[Дисц_5, Дисц_8, Дисц_3]
[Дисц_5, Дисц_8, Дисц_4]
[Дисц_5, Дисц_8, Дисц_6]
[Дисц_5, Дисц_8, Дисц_7]
[Дисц_5, Дисц_8, Дисц_9]
[Дисц_5, Дисц_9, Дисц_1]
[Дисц_5, Дисц_9, Дисц_2]
[Дисц_5, Дисц_9, Дисц_3]
[Дисц_5, Дисц_9, Дисц_4]
[Дисц_5, Дисц_9, Дисц_6]
[Дисц_5, Дисц_9, Дисц_7]
[Дисц_5, Дисц_9, Дисц_8]
[Дисц_6, Дисц_1, Дисц_2]
[Дисц_6, Дисц_1, Дисц_3]
[Дисц_6, Дисц_1, Дисц_4]
[Дисц_6, Дисц_1, Дисц_5]
[Дисц_6, Дисц_1, Дисц_7]
[Дисц_6, Дисц_1, Дисц_8]
[Дисц_6, Дисц_1, Дисц_9]
[Дисц_6, Дисц_2, Дисц_1]
[Дисц_6, Дисц_2, Дисц_3]
[Дисц_6, Дисц_2, Дисц_4]
[Дисц_6, Дисц_2, Дисц_5]
[Дисц_6, Дисц_2, Дисц_7]
[Дисц_6, Дисц_2, Дисц_8]
[Дисц_6, Дисц_2, Дисц_9]
[Дисц_6, Дисц_3, Дисц_1]
[Дисц_6, Дисц_3, Дисц_2]
[Дисц_6, Дисц_3, Дисц_4]
[Дисц_6, Дисц_3, Дисц_5]
[Дисц_6, Дисц_3, Дисц_7]
[Дисц_6, Дисц_3, Дисц_8]
[Дисц_6, Дисц_3, Дисц_9]
[Дисц_6, Дисц_4, Дисц_1]
[Дисц_6, Дисц_4, Дисц_2]
[Дисц_6, Дисц_4, Дисц_3]
[Дисц_6, Дисц_4, Дисц_5]
[Дисц_6, Дисц_4, Дисц_7]
[Дисц_6, Дисц_4, Дисц_8]
[Дисц_6, Дисц_4, Дисц_9]
[Дисц_6, Дисц_5, Дисц_1]
[Дисц_6, Дисц_5, Дисц_2]
[Дисц_6, Дисц_5, Дисц_3]
[Дисц_6, Дисц_5, Дисц_4]
[Дисц_6, Дисц_5, Дисц_7]
[Дисц_6, Дисц_5, Дисц_8]
[Дисц_6, Дисц_5, Дисц_9]
[Дисц_6, Дисц_7, Дисц_1]
[Дисц_6, Дисц_7, Дисц_2]
[Дисц_6, Дисц_7, Дисц_3]
[Дисц_6, Дисц_7, Дисц_4]
[Дисц_6, Дисц_7, Дисц_5]
[Дисц_6, Дисц_7, Дисц_8]
[Дисц_6, Дисц_7, Дисц_9]
[Дисц_6, Дисц_8, Дисц_1]
[Дисц_6, Дисц_8, Дисц_2]
[Дисц_6, Дисц_8, Дисц_3]
[Дисц_6, Дисц_8, Дисц_4]
[Дисц_6, Дисц_8, Дисц_5]
[Дисц_6, Дисц_8, Дисц_7]
[Дисц_6, Дисц_8, Дисц_9]
[Дисц_6, Дисц_9, Дисц_1]
[Дисц_6, Дисц_9, Дисц_2]
[Дисц_6, Дисц_9, Дисц_3]
[Дисц_6, Дисц_9, Дисц_4]
[Дисц_6, Дисц_9, Дисц_5]
[Дисц_6, Дисц_9, Дисц_7]
[Дисц_6, Дисц_9, Дисц_8]
[Дисц_7, Дисц_1, Дисц_2]
[Дисц_7, Дисц_1, Дисц_3]
[Дисц_7, Дисц_1, Дисц_4]
[Дисц_7, Дисц_1, Дисц_5]
[Дисц_7, Дисц_1, Дисц_6]
[Дисц_7, Дисц_1, Дисц_8]
[Дисц_7, Дисц_1, Дисц_9]
[Дисц_7, Дисц_2, Дисц_1]
[Дисц_7, Дисц_2, Дисц_3]
[Дисц_7, Дисц_2, Дисц_4]
[Дисц_7, Дисц_2, Дисц_5]
[Дисц_7, Дисц_2, Дисц_6]
[Дисц_7, Дисц_2, Дисц_8]
[Дисц_7, Дисц_2, Дисц_9]
[Дисц_7, Дисц_3, Дисц_1]
[Дисц_7, Дисц_3, Дисц_2]
[Дисц_7, Дисц_3, Дисц_4]
[Дисц_7, Дисц_3, Дисц_5]
[Дисц_7, Дисц_3, Дисц_6]
[Дисц_7, Дисц_3, Дисц_8]
[Дисц_7, Дисц_3, Дисц_9]
[Дисц_7, Дисц_4, Дисц_1]
[Дисц_7, Дисц_4, Дисц_2]
[Дисц_7, Дисц_4, Дисц_3]
[Дисц_7, Дисц_4, Дисц_5]
[Дисц_7, Дисц_4, Дисц_6]
[Дисц_7, Дисц_4, Дисц_8]
[Дисц_7, Дисц_4, Дисц_9]
[Дисц_7, Дисц_5, Дисц_1]
[Дисц_7, Дисц_5, Дисц_2]
[Дисц_7, Дисц_5, Дисц_3]
[Дисц_7, Дисц_5, Дисц_4]
[Дисц_7, Дисц_5, Дисц_6]
[Дисц_7, Дисц_5, Дисц_8]
[Дисц_7, Дисц_5, Дисц_9]
[Дисц_7, Дисц_6, Дисц_1]
[Дисц_7, Дисц_6, Дисц_2]
[Дисц_7, Дисц_6, Дисц_3]
[Дисц_7, Дисц_6, Дисц_4]
[Дисц_7, Дисц_6, Дисц_5]
[Дисц_7, Дисц_6, Дисц_8]
[Дисц_7, Дисц_6, Дисц_9]
[Дисц_7, Дисц_8, Дисц_1]
[Дисц_7, Дисц_8, Дисц_2]
[Дисц_7, Дисц_8, Дисц_3]
[Дисц_7, Дисц_8, Дисц_4]
[Дисц_7, Дисц_8, Дисц_5]
[Дисц_7, Дисц_8, Дисц_6]
[Дисц_7, Дисц_8, Дисц_9]
[Дисц_7, Дисц_9, Дисц_1]
[Дисц_7, Дисц_9, Дисц_2]
[Дисц_7, Дисц_9, Дисц_3]
[Дисц_7, Дисц_9, Дисц_4]
[Дисц_7, Дисц_9, Дисц_5]
[Дисц_7, Дисц_9, Дисц_6]
[Дисц_7, Дисц_9, Дисц_8]
[Дисц_8, Дисц_1, Дисц_2]
[Дисц_8, Дисц_1, Дисц_3]
[Дисц_8, Дисц_1, Дисц_4]
[Дисц_8, Дисц_1, Дисц_5]
[Дисц_8, Дисц_1, Дисц_6]
[Дисц_8, Дисц_1, Дисц_7]
[Дисц_8, Дисц_1, Дисц_9]
[Дисц_8, Дисц_2, Дисц_1]
[Дисц_8, Дисц_2, Дисц_3]
[Дисц_8, Дисц_2, Дисц_4]
[Дисц_8, Дисц_2, Дисц_5]
[Дисц_8, Дисц_2, Дисц_6]
[Дисц_8, Дисц_2, Дисц_7]
[Дисц_8, Дисц_2, Дисц_9]
[Дисц_8, Дисц_3, Дисц_1]
[Дисц_8, Дисц_3, Дисц_2]
[Дисц_8, Дисц_3, Дисц_4]
[Дисц_8, Дисц_3, Дисц_5]
[Дисц_8, Дисц_3, Дисц_6]
[Дисц_8, Дисц_3, Дисц_7]
[Дисц_8, Дисц_3, Дисц_9]
[Дисц_8, Дисц_4, Дисц_1]
[Дисц_8, Дисц_4, Дисц_2]
[Дисц_8, Дисц_4, Дисц_3]
[Дисц_8, Дисц_4, Дисц_5]
[Дисц_8, Дисц_4, Дисц_6]
[Дисц_8, Дисц_4, Дисц_7]
[Дисц_8, Дисц_4, Дисц_9]
[Дисц_8, Дисц_5, Дисц_1]
[Дисц_8, Дисц_5, Дисц_2]
[Дисц_8, Дисц_5, Дисц_3]
[Дисц_8, Дисц_5, Дисц_4]
[Дисц_8, Дисц_5, Дисц_6]
[Дисц_8, Дисц_5, Дисц_7]
[Дисц_8, Дисц_5, Дисц_9]
[Дисц_8, Дисц_6, Дисц_1]
[Дисц_8, Дисц_6, Дисц_2]
[Дисц_8, Дисц_6, Дисц_3]
[Дисц_8, Дисц_6, Дисц_4]
[Дисц_8, Дисц_6, Дисц_5]
[Дисц_8, Дисц_6, Дисц_7]
[Дисц_8, Дисц_6, Дисц_9]
[Дисц_8, Дисц_7, Дисц_1]
[Дисц_8, Дисц_7, Дисц_2]
[Дисц_8, Дисц_7, Дисц_3]
[Дисц_8, Дисц_7, Дисц_4]
[Дисц_8, Дисц_7, Дисц_5]
[Дисц_8, Дисц_7, Дисц_6]
[Дисц_8, Дисц_7, Дисц_9]
[Дисц_8, Дисц_9, Дисц_1]
[Дисц_8, Дисц_9, Дисц_2]
[Дисц_8, Дисц_9, Дисц_3]
[Дисц_8, Дисц_9, Дисц_4]
[Дисц_8, Дисц_9, Дисц_5]
[Дисц_8, Дисц_9, Дисц_6]
[Дисц_8, Дисц_9, Дисц_7]
[Дисц_9, Дисц_1, Дисц_2]
[Дисц_9, Дисц_1, Дисц_3]
[Дисц_9, Дисц_1, Дисц_4]
[Дисц_9, Дисц_1, Дисц_5]
[Дисц_9, Дисц_1, Дисц_6]
[Дисц_9, Дисц_1, Дисц_7]
[Дисц_9, Дисц_1, Дисц_8]
[Дисц_9, Дисц_2, Дисц_1]
[Дисц_9, Дисц_2, Дисц_3]
[Дисц_9, Дисц_2, Дисц_4]
[Дисц_9, Дисц_2, Дисц_5]
[Дисц_9, Дисц_2, Дисц_6]
[Дисц_9, Дисц_2, Дисц_7]
[Дисц_9, Дисц_2, Дисц_8]
[Дисц_9, Дисц_3, Дисц_1]
[Дисц_9, Дисц_3, Дисц_2]
[Дисц_9, Дисц_3, Дисц_4]
[Дисц_9, Дисц_3, Дисц_5]
[Дисц_9, Дисц_3, Дисц_6]
[Дисц_9, Дисц_3, Дисц_7]
[Дисц_9, Дисц_3, Дисц_8]
[Дисц_9, Дисц_4, Дисц_1]
[Дисц_9, Дисц_4, Дисц_2]
[Дисц_9, Дисц_4, Дисц_3]
[Дисц_9, Дисц_4, Дисц_5]
[Дисц_9, Дисц_4, Дисц_6]
[Дисц_9, Дисц_4, Дисц_7]
[Дисц_9, Дисц_4, Дисц_8]
[Дисц_9, Дисц_5, Дисц_1]
[Дисц_9, Дисц_5, Дисц_2]
[Дисц_9, Дисц_5, Дисц_3]
[Дисц_9, Дисц_5, Дисц_4]
[Дисц_9, Дисц_5, Дисц_6]
[Дисц_9, Дисц_5, Дисц_7]
[Дисц_9, Дисц_5, Дисц_8]
[Дисц_9, Дисц_6, Дисц_1]
[Дисц_9, Дисц_6, Дисц_2]
[Дисц_9, Дисц_6, Дисц_3]
[Дисц_9, Дисц_6, Дисц_4]
[Дисц_9, Дисц_6, Дисц_5]
[Дисц_9, Дисц_6, Дисц_7]
[Дисц_9, Дисц_6, Дисц_8]
[Дисц_9, Дисц_7, Дисц_1]
[Дисц_9, Дисц_7, Дисц_2]
[Дисц_9, Дисц_7, Дисц_3]
[Дисц_9, Дисц_7, Дисц_4]
[Дисц_9, Дисц_7, Дисц_5]
[Дисц_9, Дисц_7, Дисц_6]
[Дисц_9, Дисц_7, Дисц_8]
[Дисц_9, Дисц_8, Дисц_1]
[Дисц_9, Дисц_8, Дисц_2]
[Дисц_9, Дисц_8, Дисц_3]
[Дисц_9, Дисц_8, Дисц_4]
[Дисц_9, Дисц_8, Дисц_5]
[Дисц_9, Дисц_8, Дисц_6]
[Дисц_9, Дисц_8, Дисц_7]
